L1D,L1I,L2,Unrolling,Cycles
4kB,8kB,512kB,32,59267556
4kB,8kB,1024kB,2,59863154
4kB,8kB,1024kB,4,59675910
4kB,8kB,1024kB,8,59533574
4kB,8kB,1024kB,16,59460376
4kB,8kB,1024kB,32,59282517
4kB,16kB,128kB,2,59906335
4kB,16kB,128kB,4,59713329
4kB,16kB,128kB,8,59555877
4kB,16kB,128kB,16,59462028
4kB,16kB,128kB,32,59272455
4kB,16kB,256kB,2,59887177
4kB,16kB,256kB,4,59699268
4kB,16kB,256kB,8,59544085
4kB,16kB,256kB,16,59450711
4kB,16kB,256kB,32,59262487
4kB,16kB,512kB,2,59859779
4kB,16kB,512kB,4,59682085
4kB,16kB,512kB,8,59517709
4kB,16kB,512kB,16,59429686
4kB,16kB,512kB,32,59254268
4kB,16kB,1024kB,2,59847455
4kB,16kB,1024kB,4,59660218
4kB,16kB,1024kB,8,59520745
4kB,16kB,1024kB,16,59444672
4kB,16kB,1024kB,32,59267239
4kB,32kB,128kB,2,59899989
4kB,32kB,128kB,4,59707961
4kB,32kB,128kB,8,59543648
4kB,32kB,128kB,16,59455017
4kB,32kB,128kB,32,59269664
4kB,32kB,256kB,2,59882638
4kB,32kB,256kB,4,59689176
4kB,32kB,256kB,8,59535398
4kB,32kB,256kB,16,59442265
4kB,32kB,256kB,32,59259286
4kB,32kB,512kB,2,59857909
4kB,32kB,512kB,4,59676851
4kB,32kB,512kB,8,59514170
4kB,32kB,512kB,16,59428014
4kB,32kB,512kB,32,59251821
4kB,32kB,1024kB,2,59847088
4kB,32kB,1024kB,4,59659805
4kB,32kB,1024kB,8,59520519
4kB,32kB,1024kB,16,59444293
4kB,32kB,1024kB,32,59270978
4kB,64kB,128kB,2,59899113
4kB,64kB,128kB,4,59707303
4kB,64kB,128kB,8,59543011
4kB,64kB,128kB,16,59454324
4kB,64kB,128kB,32,59267974
4kB,64kB,256kB,2,59880621
4kB,64kB,256kB,4,59680404
4kB,64kB,256kB,8,59538212
4kB,64kB,256kB,16,59440711
4kB,64kB,256kB,32,59259183
4kB,64kB,512kB,2,59854946
4kB,64kB,512kB,4,59667987
4kB,64kB,512kB,8,59511242
4kB,64kB,512kB,16,59424411
4kB,64kB,512kB,32,59251501
4kB,64kB,1024kB,2,59844629
4kB,64kB,1024kB,4,59660986
4kB,64kB,1024kB,8,59514000
4kB,64kB,1024kB,16,59438104
4kB,64kB,1024kB,32,59266398
8kB,2kB,128kB,2,59882740
8kB,2kB,128kB,4,59675385
8kB,2kB,128kB,8,59532840
8kB,2kB,128kB,16,64377788
8kB,2kB,128kB,32,65761944
8kB,2kB,256kB,2,59872557
8kB,2kB,256kB,4,59670025
8kB,2kB,256kB,8,59528921
8kB,2kB,256kB,16,64367291
8kB,2kB,256kB,32,65750239
8kB,2kB,512kB,2,59856363
8kB,2kB,512kB,4,59669450
8kB,2kB,512kB,8,59516319
8kB,2kB,512kB,16,64348525
8kB,2kB,512kB,32,65732567
8kB,2kB,1024kB,2,59854024
8kB,2kB,1024kB,4,59668552
8kB,2kB,1024kB,8,59527970
8kB,2kB,1024kB,16,64362370
8kB,2kB,1024kB,32,65729582
8kB,4kB,128kB,2,59834056
8kB,4kB,128kB,4,59645622
8kB,4kB,128kB,8,59484874
8kB,4kB,128kB,16,59389666
8kB,4kB,128kB,32,63971039
8kB,4kB,256kB,2,59822692
8kB,4kB,256kB,4,59629650
8kB,4kB,256kB,8,59476009
8kB,4kB,256kB,16,59387095
8kB,4kB,256kB,32,63952705
8kB,4kB,512kB,2,59803639
8kB,4kB,512kB,4,59623178
8kB,4kB,512kB,8,59460409
8kB,4kB,512kB,16,59374345
8kB,4kB,512kB,32,63945141
8kB,4kB,1024kB,2,59805469
8kB,4kB,1024kB,4,59622259
8kB,4kB,1024kB,8,59474342
8kB,4kB,1024kB,16,59398508
8kB,4kB,1024kB,32,63963422
8kB,8kB,128kB,2,59826244
8kB,8kB,128kB,4,59637744
8kB,8kB,128kB,8,59476823
8kB,8kB,128kB,16,59381481
8kB,8kB,128kB,32,59249179
8kB,8kB,256kB,2,59814729
8kB,8kB,256kB,4,59621745
8kB,8kB,256kB,8,59467857
8kB,8kB,256kB,16,59373334
8kB,8kB,256kB,32,59239129
8kB,8kB,512kB,2,59798276
8kB,8kB,512kB,4,59613501
8kB,8kB,512kB,8,59457814
8kB,8kB,512kB,16,59367163
8kB,8kB,512kB,32,59232198
8kB,8kB,1024kB,2,59797610
8kB,8kB,1024kB,4,59614406
8kB,8kB,1024kB,8,59466322
8kB,8kB,1024kB,16,59394093
8kB,8kB,1024kB,32,59251345
8kB,16kB,128kB,2,59812838
8kB,16kB,128kB,4,59623759
8kB,16kB,128kB,8,59463365
8kB,16kB,128kB,16,59375386
8kB,16kB,128kB,32,59233404
8kB,16kB,256kB,2,59802077
8kB,16kB,256kB,4,59614795
8kB,16kB,256kB,8,59449846
8kB,16kB,256kB,16,59361057
